Thời gian;"CA";"Mẻ gang";"Thời gian ra gang";"Giản cách";"Thời gian ra xỉ";"Tỷ lệ";"Độ sâu lổ gang";"Lượng bùn bịt";"Sản lượng";"Sàn ra gang";"Nhiệt độ gang";"Số thùng";"Khối lượng";"Loại gang";"C";"Si";"Mn";"S";"P";"Ti";"SiO2";"Al2O3";"CaO";"MgO";"TiO2";"Ri"
8/18/2021 6:44:22 AM;;10335;96;7;43;44.8;2.40;75.0;317.4;2;1460.8;42;117.0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8/18/2021 6:44:28 AM;;10335;96;7;43;44.8;2.40;75.0;317.4;2;1460.8;14;117.0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8/18/2021 6:44:33 AM;;10335;96;7;43;44.8;2.40;75.0;317.4;2;1460.8;41;117.0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8/18/2021 8:18:45 AM;;10336;60;11;46;76.7;2.00;70.0;193.6;1;1475.6;11;117.0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8/18/2021 9:12:06 AM;;10337;52;8;36;69.2;2.30;75.0;160.7;2;1478.8;4;117.0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8/18/2021 9:13:02 AM;;10337;52;8;36;69.2;2.30;75.0;160.7;2;1478.8;64;117.0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8/18/2021 10:56:43 AM;;10338;88;8;38;43.2;2.30;75.0;285.7;1;1494.0;15;117.0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8/18/2021 10:57:14 AM;;10338;88;8;38;43.2;2.30;75.0;285.7;1;1494.0;56;117.0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8/18/2021 12:43:11 PM;;10339;99;9;58;58.6;2.30;75.0;300.3;2;1506.8;53;117.0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8/18/2021 12:43:31 PM;;10339;99;9;58;58.6;2.30;75.0;300.3;2;1506.8;1;116.0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8/18/2021 12:43:47 PM;;10339;99;9;58;58.6;2.30;75.0;300.3;2;1506.8;12;117.0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8/18/2021 2:34:15 PM;;10340;85;6;46;54.1;2.30;75.0;272.5;1;1497.7;37;117.0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8/18/2021 2:34:35 PM;;10340;85;6;46;54.1;2.30;75.0;272.5;1;1497.7;11;116.0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8/18/2021 4:39:38 PM;;10341;116;8;57;49.1;2.40;75.0;370.8;2;1488.7;25;117.0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8/18/2021 4:40:01 PM;;10341;116;8;57;49.1;2.40;75.0;370.8;2;1488.7;15;116.0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8/18/2021 4:40:33 PM;;10341;116;8;57;49.1;2.40;75.0;370.8;2;1488.7;22;117.0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8/18/2021 6:34:19 PM;;10342;87;7;45;51.7;2.30;75.0;288.8;1;1477.6;26;117.0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8/18/2021 6:34:39 PM;;10342;87;7;45;51.7;2.30;75.0;288.8;1;1477.6;59;116.0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8/18/2021 7:39:48 PM;;10343;53;8;34;64.2;2.30;75.0;188.4;2;1456.7;1;117.0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8/18/2021 7:40:09 PM;;10343;53;8;34;64.2;2.30;75.0;188.4;2;1456.7;54;116.0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
