"Thời gian	""CA""	""Mẻ gang""	""Thời gian ra gang""	""Giản cách""	""Thời gian ra xỉ""	""Tỷ lệ""	""Độ sâu lổ gang""	""Lượng bùn bịt""	""Sản lượng""	""Sàn ra gang""	""Nhiệt độ gang""	""Số thùng""	""Khối lượng""	""Loại gang""	""C""	""Si""	""Mn""	""S""	""P""	""Ti""	""SiO2""	""Al2O3""	""CaO""	""MgO""	""TiO2""	""Ri"""
"8/24/2021 6:23:13 AM		10422	48	12	31	64.6	2.00	90.0	150.8	1	1484.5	19	117.0	1 [m.]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00"
"8/24/2021 8:36:48 AM		10423	90	9	32	35.6	2.20	80.0	332.6	2	1480.8	63	117.0	1 [m.]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00"
"8/24/2021 8:36:55 AM		10423	90	9	32	35.6	2.20	80.0	332.6	2	1480.8	48	117.0	1 [m.]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00"
"8/24/2021 9:54:58 AM		10424	76	7	61	80.3	2.00	90.0	228.6	1	1484.7	51	117.0	1 [m.]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00"
"8/24/2021 9:55:08 AM		10424	76	7	61	80.3	2.00	90.0	228.6	1	1484.7	4	117.0	1 [m.]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00"
"8/24/2021 11:26:03 AM		10426	0	0	0	64.0	2.00	90.0	0.0	2	1489.8	43	117.0	1 [m.]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00"
"8/24/2021 11:26:20 AM		10426	0	0	0	64.0	2.00	90.0	0.0	2	1489.8	44	117.0	1 [m.]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00"
"8/24/2021 11:26:42 AM		10426	0	0	0	64.0	2.00	90.0	0.0	2	1489.8	48	117.0	1 [m.]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00"
"8/24/2021 12:51:16 PM		10427	71	7	46	64.8	2.20	90.0	204.2	1	1484.7	3	115.0	1 [m.]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00"
"8/24/2021 2:33:35 PM		10428	91	8	57	62.6	2.30	80.0	290.0	2	1487.7	56	116.0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00"
"8/24/2021 2:33:53 PM		10428	91	8	57	62.6	2.30	80.0	290.0	2	1487.7	1	117.0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00"
"8/24/2021 2:34:15 PM		10428	91	8	57	62.6	2.30	80.0	290.0	2	1487.7	51	116.0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00"
"8/24/2021 5:40:11 PM		10429	84	8	47	56.0	2.20	85.0	277.5	1	1492.6	60	117.0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00"
"8/24/2021 5:40:29 PM		10429	84	8	47	56.0	2.20	85.0	277.5	1	1492.6	30	116.0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00"
"8/24/2021 5:56:24 PM		10430	82	7	43	52.4	2.30	85.0	272.7	2	1495.8	64	116.0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00"
"8/24/2021 5:56:36 PM		10430	82	7	43	52.4	2.30	85.0	272.7	2	1495.8	12	116.0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00"
"8/24/2021 6:24:32 PM		10430	82	7	43	52.4	2.30	85.0	272.7	2	1495.8	42	115.0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00"
